SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
21,"<div id=sub21in4"" class=""noChange"">the</div>""",#sub21in4,the,noChange,89.524,1436443201609,1436443207122," ""718""",464.328125,718,464,55,42
21,"<div id=sub21in5"" class=""noChange"">sound</div>""",#sub21in5,sound,noChange,89.524,1436443201609,1436443207122," ""718""",527.703125,718,527,98,42
21,"<div id=sub21in6"" class=""noChange"">editing</div>""",#sub21in6,editing,noChange,89.524,1436443201609,1436443207122," ""718""",633.78125,718,633,106,42
21,"<div id=sub21in7"" class=""noChange"">and</div>""",#sub21in7,and,noChange,89.524,1436443201609,1436443207122," ""718""",746.96875,718,746,65,42
21,"<div id=sub21in8"" class=""noChange"">Final</div>""",#sub21in8,Final,noChange,89.524,1436443201609,1436443207122," ""718""",819.25,718,819,80,42
21,"<div id=sub21in9"" class=""noChange"">Cut</div>""",#sub21in9,Cut,noChange,89.524,1436443201609,1436443207122," ""718""",907.5,718,907,61,42
21,"<div id=sub21in10"" class=""noChange"">within</div>""",#sub21in10,within,noChange,89.524,1436443201609,1436443207122," ""718""",976.1875,718,976,92,42
21,"<div id=sub21in11"" class=""noChange"">reach.</div>""",#sub21in11,reach.,noChange,89.524,1436443201609,1436443207122," ""718""",1076.890625,718,1076,100,42
22,"<div id=sub22in0"" class=""noChange"">It's</div>""",#sub22in0,It's,noChange,95.976,1436443208125,1436443212382," ""718""",279.8046875,718,279,51,42
22,"<div id=sub22in1"" class=""noChange"">a</div>""",#sub22in1,a,noChange,95.976,1436443208125,1436443212382," ""718""",338.5859375,718,338,29,42
22,"<div id=sub22in2"" class=""noChange"">way</div>""",#sub22in2,way,noChange,95.976,1436443208125,1436443212382," ""718""",375.2734375,718,375,68,42
22,"<div id=sub22in3"" class=""noChange"">of</div>""",#sub22in3,of,noChange,95.976,1436443208125,1436443212382," ""718""",451.0703125,718,451,37,42
22,"<div id=sub22in4"" class=""noChange"">bringing</div>""",#sub22in4,bringing,noChange,95.976,1436443208125,1436443212382," ""718""",496.6484375,718,496,125,42
22,"<div id=sub22in5"" class=""noChange"">my</div>""",#sub22in5,my,noChange,95.976,1436443208125,1436443212382," ""718""",629.3984375,718,629,54,42
22,"<div id=sub22in6"" class=""noChange"">stories</div>""",#sub22in6,stories,noChange,95.976,1436443208125,1436443212382," ""718""",690.9453125,718,690,106,42
22,"<div id=sub22in7"" class=""noChange"">to</div>""",#sub22in7,to,noChange,95.976,1436443208125,1436443212382," ""718""",804.0859375,718,804,37,42
22,"<div id=sub22in8"" class=""noChange"">everyone.</div>""",#sub22in8,everyone.,noChange,95.976,1436443208125,1436443212382," ""718""",849.6640625,718,849,152,42
23,"<div id=sub23in0"" class=""noChange"">There's</div>""",#sub23in0,There's,noChange,102.488,1436443214636,1436443218145," ""718""",301.03125,718,301,116,42
23,"<div id=sub23in1"" class=""noChange"">also</div>""",#sub23in1,also,noChange,102.488,1436443214636,1436443218145," ""718""",425.625,718,425,70,42
23,"<div id=sub23in2"" class=""noChange"">something</div>""",#sub23in2,something,noChange,102.488,1436443214636,1436443218145," ""718""",503.21875,718,503,158,42
23,"<div id=sub23in3"" class=""noChange"">else</div>""",#sub23in3,else,noChange,102.488,1436443214636,1436443218145," ""718""",669.75,718,669,70,42
23,"<div id=sub23in4"" class=""noChange"">very</div>""",#sub23in4,very,noChange,102.488,1436443214636,1436443218145," ""718""",747.34375,718,747,71,42
23,"<div id=sub23in5"" class=""noChange"">important.</div>""",#sub23in5,important.,noChange,102.488,1436443214636,1436443218145," ""718""",826.6875,718,826,153,42
24,"<div id=sub24in0"" class=""noChange"">Big</div>""",#sub24in0,Big,noChange,106.124,1436443218395,1436443221149," ""718""",410.78125,718,410,58,42
24,"<div id=sub24in1"" class=""noChange"">ideas</div>""",#sub24in1,ideas,noChange,106.124,1436443218395,1436443221149," ""718""",475.921875,718,475,88,42
24,"<div id=sub24in2"" class=""noChange"">such</div>""",#sub24in2,such,noChange,106.124,1436443218395,1436443221149," ""718""",571.3125,718,571,78,42
24,"<div id=sub24in3"" class=""noChange"">as</div>""",#sub24in3,as,noChange,106.124,1436443218395,1436443221149," ""718""",657.796875,718,657,45,42
24,"<div id=sub24in4"" class=""noChange"">the</div>""",#sub24in4,the,noChange,106.124,1436443218395,1436443221149," ""718""",710.484375,718,710,55,42
24,"<div id=sub24in5"" class=""noChange"">Dome</div>""",#sub24in5,Dome,noChange,106.124,1436443218395,1436443221149," ""718""",773.859375,718,773,97,42
25,"<div id=sub25in0"" class=""noChange"">have</div>""",#sub25in0,have,noChange,109.221,1436443221400,1436443225407," ""718""",349.9375,718,349,81,42
25,"<div id=sub25in1"" class=""noChange"">stimulated</div>""",#sub25in1,stimulated,noChange,109.221,1436443221400,1436443225407," ""718""",438.21875,718,438,157,42
25,"<div id=sub25in2"" class=""noChange"">a</div>""",#sub25in2,a,noChange,109.221,1436443221400,1436443225407," ""718""",602.953125,718,602,29,42
25,"<div id=sub25in3"" class=""noChange"">huge</div>""",#sub25in3,huge,noChange,109.221,1436443221400,1436443225407," ""718""",639.640625,718,639,82,42
